zmid,znum,zerr
-278.63157721327775,2,1.4142135623730951
-251.8270490451273,5,2.23606797749979
-225.02252087697684,7,2.6457513110645907
-198.2179927088264,18,4.242640687119285
-171.41346454067593,35,5.916079783099616
-144.60893637252548,86,9.273618495495704
-117.80440820437502,140,11.832159566199232
-90.99988003622457,214,14.628738838327793
-64.19535186807411,266,16.30950643030009
-37.39082369992366,301,17.349351572897472
-10.586295531773203,280,16.73320053068151
16.21823263637725,260,16.1245154965971
43.02276080452771,168,12.96148139681572
69.82728897267816,115,10.723805294763608
96.63181714082862,54,7.3484692283495345
123.43634530897907,27,5.196152422706632
150.24087347712953,11,3.3166247903554
177.04540164527998,9,3.0
203.84992981343044,1,1.0
230.6544579815809,1,1.0
